,Experiment,Date,Pre Post,Plot,Strip,PT Height (mm),evi_mean,ndvi_mean,gndvi_mean,savi_mean,msavi_mean,Total Biomass (kg/ha)
275,Testbed,2024-11-01,Pre,28.3,20,34.19218,1.2716702222824,0.467729389667511,0.484467178583145,0.701525926589965,0.637320399284362,1225.297209
276,Testbed,2024-11-01,Pre,28.3,21,31.75344452,1.13704895973205,0.435223877429962,0.467046380043029,0.65277087688446,0.606456100940704,1128.840644
277,Testbed,2024-11-01,Pre,28.3,22,34.59124581,1.1864069700241,0.459584295749664,0.486475884914398,0.689310133457183,0.629716098308563,1338.209794
278,Testbed,2024-11-01,Pre,28.4,1,47.69521059,1.23845767974853,0.465040951967239,0.488003104925155,0.697494983673095,0.634820282459259,1403.46621
279,Testbed,2024-11-01,Pre,28.4,2,39.86664564,1.25181567668914,0.471013069152832,0.486977100372314,0.706450641155242,0.640362203121185,1341.71626
280,Testbed,2024-11-01,Pre,28.4,3,48.59517826,1.19204306602478,0.463282316923141,0.477019369602203,0.694856166839599,0.633179008960723,1331.691891
281,Testbed,2024-11-01,Pre,28.4,4,38.98637707,1.21720337867736,0.462470680475235,0.483640700578689,0.693638205528259,0.632420122623443,1189.605427
282,Testbed,2024-11-01,Pre,28.4,5,47.88687037,1.20528376102447,0.455959558486938,0.475467979907989,0.683872878551483,0.62630420923233,1307.531705
283,Testbed,2024-11-01,Pre,28.4,6,37.4290471,1.20904755592346,0.461478888988494,0.474033594131469,0.692151367664337,0.631492376327514,1866.559249
284,Testbed,2024-11-01,Pre,28.4,7,31.717972,1.18279027938842,0.451569408178329,0.475724339485168,0.677288889884948,0.622149765491485,1388.427111
285,Testbed,2024-11-01,Pre,28.4,8,29.62509355,1.18550670146942,0.463665843009948,0.484045624732971,0.695432424545288,0.633537650108337,1288.747217
286,Testbed,2024-11-01,Pre,28.4,9,38.60524105,1.162651181221,0.450949966907501,0.474098891019821,0.676359415054321,0.621561288833618,1254.769923
287,Testbed,2024-11-01,Pre,28.4,10,26.219732,1.22193872928619,0.458900183439254,0.483343064785003,0.688284337520599,0.629073619842529,1201.29036
288,Testbed,2024-11-01,Pre,28.4,11,38.05403905,1.18271458148956,0.452028453350067,0.474136263132095,0.677977502346038,0.622585415840148,1334.56468
289,Testbed,2024-11-01,Pre,28.4,12,35.49243946,1.23483037948608,0.460808992385864,0.479419827461242,0.691146612167358,0.630864739418029,1169.120106
290,Testbed,2024-11-01,Pre,28.4,13,55.81026,1.1348717212677,0.444314628839492,0.467748314142227,0.666407108306884,0.615228295326232,1377.023848
291,Testbed,2024-11-01,Pre,28.4,14,44.50138,1.1896880865097,0.454754590988159,0.470257699489593,0.68206650018692,0.625166773796081,1345.235925
292,Testbed,2024-11-01,Pre,28.4,15,34.85400519,1.15566039085388,0.448683708906173,0.467723220586776,0.672961354255676,0.619405329227447,1344.309499
293,Testbed,2024-11-01,Pre,28.4,16,40.02221034,1.188206076622,0.44951969385147,0.46764588356018,0.674213469028472,0.620200753211975,1396.72578
294,Testbed,2024-11-01,Pre,28.4,17,40.97629871,1.06269776821136,0.43157485127449,0.463773876428604,0.647299289703369,0.602904617786407,1595.311584
295,Testbed,2024-11-01,Pre,28.4,18,34.87946,1.15361320972442,0.444055944681167,0.458791196346282,0.666019201278686,0.614980280399322,1663.268656
296,Testbed,2024-11-01,Pre,28.4,19,40.84207838,1.09991240501403,0.435176253318786,0.460497945547103,0.652701556682586,0.606410920619964,1356.823129
