interval_from,interval_to,SWC_min(m3/m3),SWC_max(m3/m3),SWC_mean(m3/m3),SWC_stDev(m3/m3),Gray_B0_sampleCount,Gray_B0_noDataCount,Gray_B0_percentiles_50.0
1/14/2025,1/15/2025,0.270999998,0.312000006,0.301070305,0.011351408,65536,0,0.301999986
1/19/2025,1/20/2025,0.254999995,0.287999988,0.279234372,0.009139101,65536,0,0.280000001
1/22/2025,1/23/2025,0.122000001,0.159999996,0.154554691,0.01143959,65536,0,0.158000007
1/26/2025,1/27/2025,0.201000005,0.241999999,0.237515624,0.012796472,65536,0,0.241999999
1/27/2025,1/28/2025,0.179000005,0.216999993,0.212843744,0.011860143,65536,0,0.216999993
1/29/2025,1/30/2025,0.307000011,0.337000012,0.332734385,0.009174936,65536,0,0.337000012
1/30/2025,1/31/2025,0.349000007,0.386000007,0.380722665,0.011315316,65536,0,0.386000007
2/1/2025,2/2/2025,0.428000003,0.474999994,0.468136714,0.014372309,65536,0,0.474999994
2/4/2025,2/5/2025,0.356999993,0.38499999,0.380953121,0.008562143,65536,0,0.38499999
2/6/2025,2/7/2025,0.34799999,0.386000007,0.380121099,0.011637641,65536,0,0.386000007
2/7/2025,2/8/2025,0.36500001,0.393000007,0.388707039,0.008571624,65536,0,0.393000007
2/9/2025,2/10/2025,0.337000012,0.363999993,0.359570312,0.008304909,65536,0,0.363999993
2/11/2025,2/12/2025,0.326999992,0.35800001,0.352886727,0.009540567,65536,0,0.35800001
2/12/2025,2/13/2025,0.308999985,0.340000004,0.334640623,0.009598781,65536,0,0.340000004
2/14/2025,2/15/2025,0.218999997,0.259000003,0.252656249,0.012268125,65536,0,0.259000003
2/15/2025,2/16/2025,0.275999993,0.308999985,0.303175774,0.010252871,65536,0,0.308999985
2/19/2025,2/20/2025,0.172000006,0.203999996,0.198531247,0.009891548,65536,0,0.203999996
2/20/2025,2/21/2025,0.158000007,0.192000002,0.185820313,0.010623479,65536,0,0.192000002
2/22/2025,2/23/2025,0.143999994,0.180000007,0.173601567,0.011199083,65536,0,0.180000007
2/23/2025,2/24/2025,0.165000007,0.197999999,0.191929686,0.010337796,65536,0,0.197999999
2/27/2025,2/28/2025,0.358999997,0.386000007,0.381078127,0.00844154,65536,0,0.386000007
2/28/2025,3/1/2025,0.344999999,0.370000005,0.365296875,0.007873376,65536,0,0.370000005
3/2/2025,3/3/2025,0.308999985,0.330000013,0.32647266,0.006476472,65536,0,0.330000013
3/3/2025,3/4/2025,0.330000013,0.349999994,0.346828119,0.006134056,65536,0,0.349999994
3/5/2025,3/6/2025,0.505999982,0.577000022,0.56578908,0.021769454,65536,0,0.577000022
3/7/2025,3/8/2025,0.291999996,0.312999994,0.309472651,0.006476461,65536,0,0.312999994
3/8/2025,3/9/2025,0.363000005,0.382999986,0.379828119,0.006134055,65536,0,0.382999986
3/10/2025,3/11/2025,0.344999999,0.363999993,0.360937499,0.005834633,65536,0,0.363999993
3/11/2025,3/12/2025,0.330000013,0.34799999,0.345046873,0.005536602,65536,0,0.34799999
3/13/2025,3/14/2025,0.351000011,0.372999996,0.369609371,0.006736364,65536,0,0.372999996
3/15/2025,3/16/2025,0.347000003,0.370000005,0.366500003,0.007038955,65536,0,0.370000005
3/16/2025,3/17/2025,0.326999992,0.351000011,0.347390632,0.007342343,65536,0,0.351000011
3/21/2025,3/22/2025,0.294999987,0.31400001,0.311183596,0.005810952,65536,0,0.31400001
3/23/2025,3/24/2025,0.372999996,0.407999992,0.4029414,0.010702678,65536,0,0.407999992
3/24/2025,3/25/2025,0.331999987,0.356000006,0.352636718,0.007341884,65536,0,0.356000006
3/26/2025,3/27/2025,0.338999987,0.363000005,0.359636724,0.007341885,65536,0,0.363000005
3/29/2025,3/30/2025,0.351999998,0.382999986,0.379363272,0.009598421,65536,0,0.382999986
3/31/2025,4/1/2025,0.308999985,0.335000008,0.331910158,0.008039686,65536,0,0.335000008
4/1/2025,4/2/2025,0.305000007,0.344999999,0.334179693,0.011062275,65536,0,0.335000008
4/3/2025,4/4/2025,0.340999991,0.389999986,0.37690624,0.013563759,65536,0,0.377999991
4/4/2025,4/5/2025,0.340999991,0.377999991,0.368152333,0.010245246,65536,0,0.368999988
4/6/2025,4/7/2025,0.388999999,0.456999987,0.436671876,0.018717097,65536,0,0.437000006
4/8/2025,4/9/2025,0.328000009,0.363999993,0.354906253,0.01001517,65536,0,0.356000006
4/9/2025,4/10/2025,0.326000005,0.363000005,0.35379687,0.010309551,65536,0,0.354999989
4/11/2025,4/12/2025,0.324999988,0.379000008,0.367292973,0.015300004,65536,0,0.370000005
4/12/2025,4/13/2025,0.284999996,0.324999988,0.316757813,0.011413565,65536,0,0.319000006
4/14/2025,4/15/2025,0.324999988,0.368999988,0.360320312,0.012633931,65536,0,0.363000005
4/16/2025,4/17/2025,0.282000005,0.328999996,0.319992196,0.013552557,65536,0,0.323000014
4/17/2025,4/18/2025,0.316000015,0.38499999,0.372296877,0.020015364,65536,0,0.377000004
4/19/2025,4/20/2025,0.428000003,0.559000015,0.533070322,0.037596064,65536,0,0.541000009
4/20/2025,4/21/2025,0.405000001,0.488999993,0.472722645,0.024182353,65536,0,0.477999985
4/22/2025,4/23/2025,0.363999993,0.42899999,0.415445309,0.018515749,65536,0,0.419
4/24/2025,4/25/2025,0.347000003,0.400999993,0.390582026,0.015555879,65536,0,0.393999994
4/25/2025,4/26/2025,0.344999999,0.414999992,0.400253913,0.019911768,65536,0,0.404000014
4/27/2025,4/28/2025,0.342000008,0.414999992,0.399925789,0.020823436,65536,0,0.404000014
4/28/2025,4/29/2025,0.360000014,0.412999988,0.402046874,0.015116654,65536,0,0.405000001
4/30/2025,5/1/2025,0.375,0.463,0.444351563,0.025011276,65536,0,0.449000001
5/2/2025,5/3/2025,0.338999987,0.404000014,0.391089853,0.018645229,65536,0,0.395000011
5/3/2025,5/4/2025,0.337000012,0.400999993,0.388843754,0.018479054,65536,0,0.393000007
5/5/2025,5/6/2025,0.300999999,0.351000011,0.341019541,0.014332128,65536,0,0.344000012
5/6/2025,5/7/2025,0.284000009,0.324999988,0.317292962,0.011856399,65536,0,0.319999993
