interval_from,interval_to,LST_min_K,LST_max_K,LST_mean_K,LST_stDev_K,Gray_B0_sampleCount,Gray_B0_noDataCount,Gray_B0_percentiles_50.0
2024-09-01,2024-09-02,307.5199890136719,310.30999755859375,309.879330158236,0.8543583431854711,65536,0,310.30999755859375
2024-09-02,2024-09-03,305.5899963378906,308.2300109863281,307.8206683397286,0.8086032225016377,65536,0,308.2300109863281
2024-09-04,2024-09-05,309.04998779296875,312.04998779296875,311.58651423454745,0.9186987077220673,65536,0,312.04998779296875
2024-09-05,2024-09-06,312.57000732421875,315.9700012207031,315.448005795481,1.040897442334116,65536,0,315.9700012207031
2024-09-06,2024-09-07,305.79998779296875,308.5,308.089021801944,0.8263233460812079,65536,0,308.5
2024-09-07,2024-09-08,303.9200134277344,306.4200134277344,306.03583073616124,0.7653979994573016,65536,0,306.4200134277344
2024-09-08,2024-09-09,301.5,303.7799987792969,303.4297245740876,0.6980340039862214,65536,0,303.7799987792969
2024-09-09,2024-09-10,306.8500061035156,309.70001220703125,309.26278257369927,0.8724929375785855,65536,0,309.70001220703125
2024-09-11,2024-09-12,310.8299865722656,314.1199951171875,313.6124926805484,1.0074368051851588,65536,0,314.1199951171875
2024-09-13,2024-09-14,301.55999755859375,303.9100036621094,303.5471532344797,0.7196299928081359,65536,0,303.9100036621094
2024-09-14,2024-09-15,309.7900085449219,313.010009765625,312.51754689215954,0.985638291805091,65536,0,313.010009765625
2024-09-15,2024-09-16,310.510009765625,313.8399963378906,313.32812130451134,1.0195185917440348,65536,0,313.8399963378906
2024-09-16,2024-09-17,307.9800109863281,308.6600036621094,308.06915020942097,0.20860003556415235,65536,0,307.9800109863281
2024-09-17,2024-09-18,310.1000061035156,313.4100036621094,312.90277826786127,1.0132661250308266,65536,0,313.4100036621094
2024-09-18,2024-09-19,312.010009765625,315.55999755859375,315.0166773796089,1.086677626775693,65536,0,315.55999755859375
2024-09-20,2024-09-21,315.8500061035156,319.5899963378906,319.0185121297863,1.144766870375558,65536,0,319.5899963378906
2024-09-21,2024-09-22,294.5799865722656,296.260009765625,296.0122704505914,0.5137810259475271,65536,0,296.260009765625
2024-09-22,2024-09-23,302.5299987792969,305.05999755859375,304.67499709129316,0.774284625195573,65536,0,305.05999755859375
2024-09-23,2024-09-24,290.9800109863281,292.2799987792969,292.08120834827355,0.39792241237079934,65536,0,292.2799987792969
2024-09-24,2024-09-25,296.8599853515625,298.79998779296875,298.50412905216047,0.5937678134026456,65536,0,298.79998779296875
2024-09-25,2024-09-26,302.739990234375,305.3299865722656,304.93843138218006,0.7924762240926078,65536,0,305.3299865722656
2024-09-27,2024-09-28,294.8900146484375,296.6199951171875,296.3618725538205,0.5291572263891781,65536,0,296.6199951171875
2024-09-29,2024-09-30,305.45001220703125,308.3900146484375,307.9429416656479,0.8997402424666491,65536,0,308.3900146484375
2024-09-30,2024-10-01,307.7900085449219,311.0,310.51109528541633,0.982421215424786,65536,0,311.0
2024-10-01,2024-10-02,299.5799865722656,301.8699951171875,301.5235527753864,0.7007019588174664,65536,0,301.8699951171875
2024-10-02,2024-10-03,301.2699890136719,303.760009765625,303.3843010664015,0.7618424558338949,65536,0,303.760009765625
2024-10-03,2024-10-04,305.7900085449219,308.79998779296875,308.34772443771396,0.9208235817334057,65536,0,308.79998779296875
2024-10-04,2024-10-05,306.3800048828125,309.4599914550781,308.9976152181639,0.942219689900376,65536,0,309.4599914550781
2024-10-06,2024-10-07,303.2799987792969,306.0299987792969,305.61601650714664,0.8413314559323933,65536,0,306.0299987792969
2024-10-07,2024-10-08,299.6499938964844,302.0,301.6445320844652,0.7190569758352455,65536,0,302.0
2024-10-08,2024-10-09,301.6300048828125,302.57000732421875,301.95195591449874,0.25980375803021905,65536,0,301.9700012207031
2024-10-09,2024-10-10,304.8800048828125,305.9700012207031,305.250580191611,0.3010759541213071,65536,0,305.2699890136719
2024-10-10,2024-10-11,304.7099914550781,305.8699951171875,305.16558408736984,0.32750615411527884,65536,0,305.2200012207031
2024-10-11,2024-10-12,308.1499938964844,309.510009765625,308.69191992282964,0.3853095634765178,65536,0,308.760009765625
2024-10-13,2024-10-14,301.20001220703125,302.30999755859375,301.6823527812961,0.32284390768854226,65536,0,301.760009765625
2024-10-15,2024-10-16,292.07000732421875,292.7799987792969,292.3925876617427,0.2101172066918728,65536,0,292.45001220703125
2024-10-16,2024-10-17,295.8299865722656,296.739990234375,296.2389003038407,0.26808678536592456,65536,0,296.30999755859375
2024-10-17,2024-10-18,297.6700134277344,298.6700134277344,298.1274211406717,0.29678814317418767,65536,0,298.2099914550781
2024-10-18,2024-10-19,300.07000732421875,301.2799987792969,300.6470782756832,0.36604138071838777,65536,0,300.760009765625
2024-10-19,2024-10-20,301.4200134277344,302.7200012207031,302.0520299673049,0.39705955749181204,65536,0,302.17999267578125
2024-10-20,2024-10-21,304.9100036621094,306.3299865722656,305.6389368772492,0.4468890315623926,65536,0,305.79998779296875
2024-10-22,2024-10-23,307.07000732421875,308.6499938964844,307.8937815427748,0.501890880798241,65536,0,308.0799865722656
2024-10-23,2024-10-24,299.4599914550781,300.55999755859375,300.0637030601488,0.36114587729736436,65536,0,300.2099914550781
2024-10-24,2024-10-25,300.25,301.4200134277344,300.88070380687736,0.3795670787796144,65536,0,301.0299987792969
2024-10-25,2024-10-26,299.3699951171875,300.6099853515625,300.1759370565383,0.4645066168075499,65536,0,300.4100036621094
2024-10-26,2024-10-27,295.0299987792969,295.989990234375,295.6570665836353,0.36119050139272346,65536,0,295.8399963378906
2024-10-27,2024-10-28,299.54998779296875,300.79998779296875,300.3699080944042,0.47203931334362714,65536,0,300.6099853515625
2024-10-29,2024-10-30,306.19000244140625,307.8299865722656,307.29750227928577,0.6357027197862075,65536,0,307.6300048828125
2024-10-31,2024-11-01,291.5199890136719,292.3299865722656,292.0468786954879,0.3036434568461854,65536,0,292.20001220703125
2024-11-01,2024-11-02,294.92999267578125,295.94000244140625,295.6012015342655,0.38586848864632906,65536,0,295.79998779296875
2024-11-02,2024-11-03,295.6099853515625,296.70001220703125,296.31573283672145,0.4069593985626593,65536,0,296.5199890136719
2024-11-03,2024-11-04,292.4700012207031,293.3900146484375,293.0475745201162,0.3345486261113853,65536,0,293.2099914550781
2024-11-04,2024-11-05,295.4599914550781,296.54998779296875,296.17863881587954,0.4134929484927917,65536,0,296.3900146484375
